date,name,value
2021-01-02,ARS,85.115451
2021-01-02,AUD,1.29985
2021-01-02,AWG,1.8
2021-01-02,AZN,1.70397
2021-01-02,BAM,1.601236
2021-01-02,BBD,2.029064
2021-01-02,BDT,85.068975
2021-01-02,BGN,1.602404
2021-01-02,BHD,0.377011
2021-01-02,BIF,1949.903803
2021-01-02,BMD,1.0
2021-01-02,BND,1.328012
2021-01-02,BOB,6.919072
2021-01-02,BRL,5.193404
2021-01-02,BSD,1.004953
2021-01-02,BTC,3.1027802e-05
2021-01-02,BTN,73.428794
2021-01-02,BWP,10.858488
2021-01-02,BYN,2.625732
2021-01-02,BYR,19600.0
2021-01-02,BZD,2.025707
2021-01-02,CAD,1.27395
2021-01-02,CDF,1971.000362
2021-01-02,CHF,0.890075
2021-01-02,CLF,0.025749
2021-01-02,CLP,710.503912
2021-01-02,CNY,6.533041
2021-01-02,COP,3422.0
2021-01-02,CRC,613.418478
2021-01-02,CUC,1.0
2021-01-02,CUP,26.5
2021-01-02,CVE,90.273855
2021-01-02,CZK,21.470204
2021-01-02,DJF,177.720394
2021-01-02,DKK,6.092904
2021-01-02,DOP,58.428098
2021-01-02,DZD,132.069262
2021-01-02,EGP,15.842604
2021-01-02,ERN,15.000358
2021-01-02,ETB,39.551926
2021-01-02,EUR,0.824063
2021-01-02,FJD,2.039204
2021-01-02,FKP,0.731181
2021-01-02,GBP,0.731368
2021-01-02,GEL,3.28504
2021-01-02,GGP,0.731181
2021-01-02,GHS,5.899054
2021-01-02,GIP,0.731181
2021-01-02,GMD,51.71039
2021-01-02,GNF,10044.45536
2021-01-02,GTQ,7.833558
2021-01-02,GYD,210.250113
2021-01-02,HKD,7.75325
2021-01-02,HNL,24.230218
2021-01-02,HRK,6.179404
2021-01-02,HTG,72.994392
2021-01-02,HUF,296.920388
2021-01-02,IDR,14213.692393
2021-01-02,ILS,3.21302
2021-01-02,IMP,0.731181
2021-01-02,INR,73.09225
2021-01-02,IQD,1468.230382
2021-01-02,IRR,42105.000352
2021-01-02,ISK,127.810386
2021-01-02,JEP,0.731181
2021-01-02,JMD,143.707888
2021-01-02,JOD,0.70904
2021-01-02,JPY,103.240385
2021-01-02,KES,109.740385
2021-01-02,KGS,83.503801
2021-01-02,KHR,4057.963895
2021-01-02,KMF,403.00035
2021-01-02,KPW,900.000072
2021-01-02,KRW,1085.730384
2021-01-02,KWD,0.30415
2021-01-02,KYD,0.837447
2021-01-02,KZT,423.529412
2021-01-02,LAK,9341.029105
2021-01-02,LBP,1519.505506
2021-01-02,LKR,186.166851
2021-01-02,LRD,164.275039
2021-01-02,LSL,14.690382
2021-01-02,LTL,2.95274
2021-01-02,LVL,0.60489
2021-01-02,LYD,1.344386
2021-01-02,MAD,8.927095
2021-01-02,MDL,17.269065
2021-01-02,MGA,3840.000347
2021-01-02,MKD,50.444144
2021-01-02,MMK,1334.572353
2021-01-02,MNT,2850.052265
2021-01-02,MOP,8.024643
2021-01-02,MRO,356.999828
2021-01-02,MUR,39.703743
2021-01-02,MVR,15.403741
2021-01-02,MWK,774.654714
2021-01-02,MXN,19.882204
2021-01-02,MYR,4.022504
2021-01-02,MZN,74.903732
2021-01-02,NAD,14.690377
2021-01-02,NGN,381.203727
2021-01-02,NIO,35.02231
2021-01-02,NOK,8.63301
2021-01-02,NPR,117.485775
2021-01-02,NZD,1.520526
2021-01-02,OMR,0.384969
2021-01-02,PAB,1.004953
2021-01-02,PEN,3.637889
2021-01-02,PGK,3.573785
2021-01-02,PHP,48.095039
2021-01-02,PKR,160.992836
2021-01-02,PLN,3.75377
2021-01-02,PYG,6951.00086
2021-01-02,QAR,3.64125
2021-01-02,RON,3.983104
2021-01-02,RSD,96.250373
2021-01-02,RUB,73.945038
2021-01-02,RWF,995.914692
2021-01-02,SAR,3.751084
2021-01-02,SBD,8.002049
2021-01-02,SCR,21.204306
2021-01-02,SDG,55.250372
2021-01-02,SEK,8.26929
2021-01-02,SGD,1.321604
2021-01-02,SHP,0.731181
2021-01-02,SLL,10116.503669
2021-01-02,SOS,583.000338
2021-01-02,SRD,14.154038
2021-01-02,STD,20834.863349
2021-01-02,SVC,8.793647
2021-01-02,SYP,512.825634
2021-01-02,SZL,14.745098
2021-01-02,THB,29.988038
2021-01-02,TJS,11.38352
2021-01-02,TMT,3.5
2021-01-02,TND,2.694504
2021-01-02,TOP,2.27405
2021-01-02,TRY,7.439204
2021-01-02,TTD,6.795284
2021-01-02,TWD,28.069038
2021-01-02,TZS,2318.537038
2021-01-02,UAH,28.475255
2021-01-02,UGX,3674.075893
2021-01-02,USD,1.0
2021-01-02,UYU,42.368496
2021-01-02,UZS,10528.773179
2021-01-02,VEF,9.987504
2021-01-02,VND,23080.0
2021-01-02,VUV,108.664454
2021-01-02,WST,2.550164
2021-01-02,XAF,537.031397
2021-01-02,XAG,0.038018
2021-01-02,XAU,0.000528
2021-01-02,XCD,2.70255
2021-01-02,XDR,0.697777
2021-01-02,XOF,537.031397
2021-01-02,XPF,98.050364
2021-01-02,YER,250.403597
2021-01-02,ZAR,14.662595
2021-01-02,ZMK,9001.203593
2021-01-02,ZMW,21.274796
2021-01-02,ZWL,322.000186
2021-01-03,AED,3.67291
2021-01-03,AFN,77.571739
2021-01-03,ALL,101.322199
2021-01-03,AMD,522.589916
2021-01-03,ANG,1.803922
2021-01-03,AOA,654.159793
2021-01-03,ARS,84.320882
2021-01-03,AUD,1.29673
2021-01-03,AWG,1.8
2021-01-03,AZN,1.64452
2021-01-03,BAM,1.601236
2021-01-03,BBD,2.029064
2021-01-03,BDT,85.068975
2021-01-03,BGN,1.602404
2021-01-03,BHD,0.377011
2021-01-03,BIF,1949.903803
2021-01-03,BMD,1.0
2021-01-03,BND,1.328012
2021-01-03,BOB,6.919072
2021-01-03,BRL,5.1934
2021-01-03,BSD,1.004953
2021-01-03,BTC,3.0695225e-05
2021-01-03,BTN,73.428794
2021-01-03,BWP,10.858488
2021-01-03,BYN,2.625732
2021-01-03,BYR,19600.0
2021-01-03,BZD,2.025707
2021-01-03,CAD,1.27232
2021-01-03,CDF,1971.000437
2021-01-03,CHF,0.88314
2021-01-03,CLF,0.025749
2021-01-03,CLP,710.499696
2021-01-03,CNY,6.532972
2021-01-03,COP,3422.0
2021-01-03,CRC,613.418478
2021-01-03,CUC,1.0
2021-01-03,CUP,26.5
2021-01-03,CVE,90.273855
2021-01-03,CZK,21.42375
2021-01-03,DJF,177.720142
2021-01-03,DKK,6.07432
2021-01-03,DOP,58.428098
2021-01-03,DZD,132.069262
2021-01-03,EGP,15.693621
2021-01-03,ERN,15.000233
2021-01-03,ETB,39.551926
2021-01-03,EUR,0.816315
2021-01-03,FJD,2.039199
2021-01-03,FKP,0.730858
2021-01-03,GBP,0.730805
2021-01-03,GEL,3.285011
2021-01-03,GGP,0.730858
2021-01-03,GHS,5.899054
2021-01-03,GIP,0.730858
2021-01-03,GMD,51.710188
2021-01-03,GNF,10044.45536
2021-01-03,GTQ,7.833558
2021-01-03,GYD,210.250113
2021-01-03,HKD,7.753075
2021-01-03,HNL,24.230218
2021-01-03,HRK,6.1794
2021-01-03,HTG,72.994392
2021-01-03,HUF,296.805018
2021-01-03,IDR,14212.035435
2021-01-03,ILS,3.21065
2021-01-03,IMP,0.730858
2021-01-03,INR,73.09225
2021-01-03,IQD,1468.230382
2021-01-03,IRR,42105.0002
2021-01-03,ISK,127.810235
2021-01-03,JEP,0.730858
2021-01-03,JMD,143.707888
2021-01-03,JOD,0.708983
2021-01-03,JPY,103.242033
2021-01-03,KES,109.740141
2021-01-03,KGS,83.494249
2021-01-03,KHR,4057.963895
2021-01-03,KMF,402.999653
2021-01-03,KPW,900.073104
2021-01-03,KRW,1085.730262
2021-01-03,KWD,0.30415
2021-01-03,KYD,0.837447
2021-01-03,KZT,423.529412
2021-01-03,LAK,9341.029105
2021-01-03,LBP,1519.505506
2021-01-03,LKR,186.166851
2021-01-03,LRD,164.274999
2021-01-03,LSL,14.689965
2021-01-03,LTL,2.95274
2021-01-03,LVL,0.60489
2021-01-03,LYD,1.344386
2021-01-03,MAD,8.927095
2021-01-03,MDL,17.269065
2021-01-03,MGA,3839.999792
2021-01-03,MKD,50.444144
2021-01-03,MMK,1334.572353
2021-01-03,MNT,2849.021444
2021-01-03,MOP,8.024643
2021-01-03,MRO,356.999828
2021-01-03,MUR,39.704601
2021-01-03,MVR,15.396482
2021-01-03,MWK,774.654714
2021-01-03,MXN,19.849652
2021-01-03,MYR,4.022497
2021-01-03,MZN,74.892074
2021-01-03,NAD,14.690035
2021-01-03,NGN,381.2053
2021-01-03,NIO,35.02231
2021-01-03,NOK,8.553497
2021-01-03,NPR,117.485775
